epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,5374.22,1.97602,0.92647,0.90888,0.39563,0.17728,0.19002,0.09286,2.17412,0.97625,0.92437,0.0001882,0.0001882,0.0001882
84,5435.71,1.9681,0.91293,0.89954,0.33997,0.16819,0.18669,0.09247,2.17645,0.98289,0.91916,0.0001783,0.0001783,0.0001783
85,5486.34,1.93504,0.91015,0.90126,0.39528,0.16618,0.19063,0.09459,2.14689,0.97829,0.91651,0.0001684,0.0001684,0.0001684
86,5533.18,1.96628,0.92811,0.90746,0.49756,0.17055,0.18999,0.0962,2.0909,0.97266,0.90909,0.0001585,0.0001585,0.0001585
87,5579.56,1.95053,0.89628,0.90341,0.34735,0.1718,0.18971,0.09803,2.11852,0.97448,0.91441,0.0001486,0.0001486,0.0001486
88,5626.07,1.92054,0.88281,0.89626,0.36948,0.16509,0.18868,0.09837,2.09036,0.97196,0.91095,0.0001387,0.0001387,0.0001387
89,5672.55,1.92741,0.90554,0.90298,0.34855,0.16728,0.19186,0.09968,2.05888,0.94296,0.91104,0.0001288,0.0001288,0.0001288
90,5719,1.8867,0.886,0.90045,0.3808,0.16675,0.1902,0.0974,2.09295,0.9556,0.91274,0.0001189,0.0001189,0.0001189
91,5764.9,1.78774,0.83064,0.89562,0.37735,0.16419,0.188,0.09521,2.11109,0.97817,0.9144,0.000109,0.000109,0.000109
92,5810.77,1.71022,0.77661,0.88863,0.37486,0.17368,0.19236,0.09912,2.08822,0.93645,0.91152,9.91e-05,9.91e-05,9.91e-05
93,5856.44,1.7166,0.78012,0.8879,0.36985,0.17197,0.19507,0.10103,2.05674,0.9271,0.90838,8.92e-05,8.92e-05,8.92e-05
94,5902.86,1.68493,0.76807,0.88432,0.35467,0.17247,0.19483,0.10212,2.05769,0.92134,0.90918,7.93e-05,7.93e-05,7.93e-05
95,5949.47,1.72387,0.77968,0.89292,0.35728,0.17598,0.19069,0.10056,2.05819,0.91509,0.90838,6.94e-05,6.94e-05,6.94e-05
96,6011.15,1.71584,0.77741,0.891,0.36247,0.17394,0.19337,0.10108,2.06887,0.9119,0.90764,5.95e-05,5.95e-05,5.95e-05
97,6079.77,1.65725,0.74985,0.88526,0.48172,0.26286,0.28067,0.11089,2.07161,0.90871,0.90804,4.96e-05,4.96e-05,4.96e-05
98,6148.48,1.6728,0.76355,0.88505,0.48465,0.26082,0.2792,0.11187,2.04422,0.89951,0.90598,3.97e-05,3.97e-05,3.97e-05
99,6211.17,1.6684,0.74482,0.8846,0.50402,0.26891,0.28354,0.11214,2.0604,0.89731,0.90579,2.98e-05,2.98e-05,2.98e-05
100,6279.39,1.66725,0.75124,0.87886,0.51498,0.26733,0.28347,0.1135,2.04567,0.88958,0.90506,1.99e-05,1.99e-05,1.99e-05
